,region,EWCL,perspective,value
179,新疆,Water,国际（消费视角）,2586.246684927754
,region,EWCL,perspective,value
0,北京,Land,国际（生产视角）,265.13218511065315
1,天津,Land,国际（生产视角）,138.46591311635885
2,河北,Land,国际（生产视角）,1610.9703743808798
3,山西,Land,国际（生产视角）,825.8669028884553
4,内蒙古,Land,国际（生产视角）,10320.500835541645
5,辽宁,Land,国际（生产视角）,1743.053582298216
6,吉林,Land,国际（生产视角）,2433.6329649825216
7,黑龙江,Land,国际（生产视角）,3221.982604694487
8,上海,Land,国际（生产视角）,113.90417264511092
9,江苏,Land,国际（生产视角）,1937.761695729696
10,浙江,Land,国际（生产视角）,2438.226824268187
11,安徽,Land,国际（生产视角）,1152.2853326135917
12,福建,Land,国际（生产视角）,1625.3851529940086
13,江西,Land,国际（生产视角）,1308.521960833216
14,山东,Land,国际（生产视角）,2077.9376791673862
15,河南,Land,国际（生产视角）,1514.6752912595311
16,湖北,Land,国际（生产视角）,1319.0055173060464
17,湖南,Land,国际（生产视角）,1129.3689944994376
18,广东,Land,国际（生产视角）,2459.0986839105535
19,广西,Land,国际（生产视角）,1750.603658951029
20,海南,Land,国际（生产视角）,238.85622945714715
21,重庆,Land,国际（生产视角）,512.6786898368671
22,四川,Land,国际（生产视角）,2620.144049909008
23,贵州,Land,国际（生产视角）,848.3075958905675
24,云南,Land,国际（生产视角）,2016.1532685429227
25,陕西,Land,国际（生产视角）,7026.17326830474
26,甘肃,Land,国际（生产视角）,612.8518690321692
27,青海,Land,国际（生产视角）,574.1906031347314
28,宁夏,Land,国际（生产视角）,3881.942092356307
29,新疆,Land,国际（生产视角）,673.7930442764089
30,北京,Land,国内（生产视角）,385.8650885792546
31,天津,Land,国内（生产视角）,331.3778462504871
32,河北,Land,国内（生产视角）,8144.015045814379
33,山西,Land,国内（生产视角）,1764.1148848499276
34,内蒙古,Land,国内（生产视角）,37142.04010123978
35,辽宁,Land,国内（生产视角）,3116.8337380917915
36,吉林,Land,国内（生产视角）,9615.971355847794
37,黑龙江,Land,国内（生产视角）,15966.258696884062
38,上海,Land,国内（生产视角）,128.03249351646252
39,江苏,Land,国内（生产视角）,1608.051337784108
40,浙江,Land,国内（生产视角）,2019.8482905040814
41,安徽,Land,国内（生产视角）,5254.852119477748
42,福建,Land,国内（生产视角）,2031.7786584965731
43,江西,Land,国内（生产视角）,4369.727524716839
44,山东,Land,国内（生产视角）,3686.292991948277
45,河南,Land,国内（生产视角）,4698.206323546019
46,湖北,Land,国内（生产视角）,4602.998244464985
47,湖南,Land,国内（生产视角）,5204.379411178176
48,广东,Land,国内（生产视角）,2802.7805789154863
49,广西,Land,国内（生产视角）,7191.384980019517
50,海南,Land,国内（生产视角）,709.8971008670454
51,重庆,Land,国内（生产视角）,2407.6387981289317
52,四川,Land,国内（生产视角）,11204.779746010327
53,贵州,Land,国内（生产视角）,5029.140698953829
54,云南,Land,国内（生产视角）,8176.524896975094
55,陕西,Land,国内（生产视角）,33357.5869947578
56,甘肃,Land,国内（生产视角）,2612.564001405815
57,青海,Land,国内（生产视角）,1570.300616517063
58,宁夏,Land,国内（生产视角）,17433.25757019392
59,新疆,Land,国内（生产视角）,2023.4872323175944
60,北京,Land,本地（生产视角）,591.5613219371313
61,天津,Land,本地（生产视角）,287.73424989123583
62,河北,Land,本地（生产视角）,4951.276107220522
63,山西,Land,本地（生产视角）,7871.729529118184
64,内蒙古,Land,本地（生产视角）,50124.55359267054
65,辽宁,Land,本地（生产视角）,6886.913839304896
66,吉林,Land,本地（生产视角）,4718.018618154277
67,黑龙江,Land,本地（生产视角）,14136.664373512218
68,上海,Land,本地（生产视角）,185.0649827786122
69,江苏,Land,本地（生产视角）,2869.0744844213477
70,浙江,Land,本地（生产视角）,4682.511868254126
71,安徽,Land,本地（生产视角）,3401.7116881613288
72,福建,Land,本地（生产视角）,5410.867154236879
73,江西,Land,本地（生产视角）,8045.076967163826
74,山东,Land,本地（生产视角）,5789.749136268323
75,河南,Land,本地（生产视角）,8764.078334800752
76,湖北,Land,本地（生产视角）,10119.31624660583
77,湖南,Land,本地（生产视角）,10289.655240404298
78,广东,Land,本地（生产视角）,7194.114383387454
79,广西,Land,本地（生产视角）,12488.39435999107
80,海南,Land,本地（生产视角）,2666.342925634896
81,重庆,Land,本地（生产视角）,3800.542635800284
82,四川,Land,本地（生产视角）,23935.58711668782
83,贵州,Land,本地（生产视角）,7409.727621964286
84,云南,Land,本地（生产视角）,24948.31940245742
85,陕西,Land,本地（生产视角）,48876.5455542505
86,甘肃,Land,本地（生产视角）,12054.037691819998
87,青海,Land,本地（生产视角）,24307.30500478649
88,宁夏,Land,本地（生产视角）,16492.589838624852
89,新疆,Land,本地（生产视角）,1997.3938267683407
90,北京,Land,本地（消费视角）,591.5613219371313
91,天津,Land,本地（消费视角）,287.73424989123583
92,河北,Land,本地（消费视角）,4951.276107220522
93,山西,Land,本地（消费视角）,7871.729529118184
94,内蒙古,Land,本地（消费视角）,50124.55359267054
95,辽宁,Land,本地（消费视角）,6886.913839304896
96,吉林,Land,本地（消费视角）,4718.018618154277
97,黑龙江,Land,本地（消费视角）,14136.664373512218
98,上海,Land,本地（消费视角）,185.0649827786122
99,江苏,Land,本地（消费视角）,2869.0744844213477
100,浙江,Land,本地（消费视角）,4682.511868254126
101,安徽,Land,本地（消费视角）,3401.7116881613288
102,福建,Land,本地（消费视角）,5410.867154236879
103,江西,Land,本地（消费视角）,8045.076967163826
104,山东,Land,本地（消费视角）,5789.749136268323
105,河南,Land,本地（消费视角）,8764.078334800752
106,湖北,Land,本地（消费视角）,10119.31624660583
107,湖南,Land,本地（消费视角）,10289.655240404298
108,广东,Land,本地（消费视角）,7194.114383387454
109,广西,Land,本地（消费视角）,12488.39435999107
110,海南,Land,本地（消费视角）,2666.342925634896
111,重庆,Land,本地（消费视角）,3800.542635800284
112,四川,Land,本地（消费视角）,23935.58711668782
113,贵州,Land,本地（消费视角）,7409.727621964286
114,云南,Land,本地（消费视角）,24948.31940245742
115,陕西,Land,本地（消费视角）,48876.5455542505
116,甘肃,Land,本地（消费视角）,12054.037691819998
117,青海,Land,本地（消费视角）,24307.30500478649
118,宁夏,Land,本地（消费视角）,16492.589838624852
119,新疆,Land,本地（消费视角）,1997.3938267683407
120,北京,Land,国内（消费视角）,8211.46038158715
121,天津,Land,国内（消费视角）,7798.44563504829
122,河北,Land,国内（消费视角）,10591.556900398293
123,山西,Land,国内（消费视角）,6167.578152653026
124,内蒙古,Land,国内（消费视角）,3871.7793797398117
125,辽宁,Land,国内（消费视角）,6990.342583048538
126,吉林,Land,国内（消费视角）,6606.7674388656515
127,黑龙江,Land,国内（消费视角）,4114.519036543827
128,上海,Land,国内（消费视角）,16959.682735588605
129,江苏,Land,国内（消费视角）,16443.95553553202
130,浙江,Land,国内（消费视角）,11554.299731942094
131,安徽,Land,国内（消费视角）,6677.789140516959
132,福建,Land,国内（消费视角）,4615.421725044009
133,江西,Land,国内（消费视角）,3214.613440814288
134,山东,Land,国内（消费视角）,15540.29543788231
135,河南,Land,国内（消费视角）,10256.576933527596
136,湖北,Land,国内（消费视角）,7399.078205539407
137,湖南,Land,国内（消费视角）,4217.906722703094
138,广东,Land,国内（消费视角）,15180.395107728784
139,广西,Land,国内（消费视角）,6053.373168150163
140,海南,Land,国内（消费视角）,482.9106950458395
141,重庆,Land,国内（消费视角）,4739.862707087852
142,四川,Land,国内（消费视角）,5867.254919930048
143,贵州,Land,国内（消费视角）,2433.9692729693943
144,云南,Land,国内（消费视角）,3514.7323891049527
145,陕西,Land,国内（消费视角）,7804.683212581251
146,甘肃,Land,国内（消费视角）,2617.5713442312717
147,青海,Land,国内（消费视角）,1595.4492043326572
148,宁夏,Land,国内（消费视角）,645.835479711026
149,新疆,Land,国内（消费视角）,2421.8807504049337
150,北京,Land,国际（消费视角）,3524.7081066377227
151,天津,Land,国际（消费视角）,3084.70100825544
152,河北,Land,国际（消费视角）,5208.01878235296
153,山西,Land,国际（消费视角）,2622.3089325270025
154,内蒙古,Land,国际（消费视角）,3784.9031440944095
155,辽宁,Land,国际（消费视角）,6470.327243015334
156,吉林,Land,国际（消费视角）,3463.671095159057
157,黑龙江,Land,国际（消费视角）,3271.325220302138
158,上海,Land,国际（消费视角）,4932.69893488442
159,江苏,Land,国际（消费视角）,10096.929440388361
160,浙江,Land,国际（消费视角）,7408.752246968049
161,安徽,Land,国际（消费视角）,4017.3066323144303
162,福建,Land,国际（消费视角）,4614.538120925156
163,江西,Land,国际（消费视角）,3421.0949180322878
164,山东,Land,国际（消费视角）,19370.88575289766
165,河南,Land,国际（消费视角）,10064.66560282894
166,湖北,Land,国际（消费视角）,5404.350937564191
167,湖南,Land,国际（消费视角）,4795.887145762836
168,广东,Land,国际（消费视角）,10500.528554218174
169,广西,Land,国际（消费视角）,4199.4509215812395
170,海南,Land,国际（消费视角）,531.7863874932398
171,重庆,Land,国际（消费视角）,2304.26287159966
172,四川,Land,国际（消费视角）,6230.0868304815185
173,贵州,Land,国际（消费视角）,1129.7947172170489
174,云南,Land,国际（消费视角）,2449.1064660695233
175,陕西,Land,国际（消费视角）,3727.941805225545
176,甘肃,Land,国际（消费视角）,1389.4086371324784
177,青海,Land,国际（消费视角）,357.97409411208264
178,宁夏,Land,国际（消费视角）,493.4473438260283
179,新疆,Land,国际（消费视角）,1667.644398299045
,region,EWCL,perspective,value
0,北京,CO2,国际（生产视角）,19.41167
1,天津,CO2,国际（生产视角）,32.12521
2,河北,CO2,国际（生产视角）,119.1597
3,山西,CO2,国际（生产视角）,60.7101
4,内蒙古,CO2,国际（生产视角）,68.13115
5,辽宁,CO2,国际（生产视角）,79.55968
6,吉林,CO2,国际（生产视角）,26.8808
7,黑龙江,CO2,国际（生产视角）,30.08672
8,上海,CO2,国际（生产视角）,66.23629
9,江苏,CO2,国际（生产视角）,182.7584
10,浙江,CO2,国际（生产视角）,107.1435
